Age,Income,PurchaseFrequency,Revenue,MarketingCost,CustomerID,Visitors,Purchases,Gender,Channel,Campaign,Impressions,Clicks,Churn
39,54968,8,8298,2372,114,940,8,Female,Social Media,Spring Sale,5890,958,1
24,91054,7,9263,3002,115,539,4,Female,TV,Winter Sale,6205,576,0
64,52253,4,9475,2879,116,595,5,Female,Social Media,Summer Sale,4992,560,0
30,85014,12,4496,3874,117,819,1,Male,Radio,Winter Sale,1928,153,1
62,37382,15,1259,2996,118,652,8,Female,TV,Spring Sale,7107,587,1
47,49137,8,7928,4865,119,350,3,Female,Social Media,Summer Sale,6130,146,0
22,51092,13,408,1348,120,320,6,Male,Radio,Summer Sale,9776,364,0
58,32939,12,634,968,121,738,7,Male,Email,Spring Sale,4670,584,1
66,85977,5,6296,3228,122,721,1,Female,Email,Spring Sale,5178,143,0
48,85125,17,9427,1801,123,430,6,Female,Email,Summer Sale,3965,592,0
49,75574,19,3269,721,124,643,9,Female,Direct Mail,Spring Sale,6783,144,1
62,91825,18,5750,4789,125,936,7,Male,Direct Mail,Fall Sale,3908,710,1
61,98595,4,641,181,126,486,8,Male,Email,Fall Sale,6670,728,0
38,54380,11,4588,1754,127,583,4,Male,Social Media,Spring Sale,1429,456,0
58,74842,5,6021,3664,128,691,1,Female,Email,Spring Sale,6640,706,0
27,58241,13,4742,920,129,689,9,Male,Social Media,Winter Sale,5695,73,1
62,50859,16,1822,628,130,969,5,Female,Email,Winter Sale,1678,832,0
21,82304,14,1066,899,131,342,8,Female,Email,Summer Sale,8888,699,0
54,37385,17,7897,3290,132,555,4,Male,Direct Mail,Spring Sale,5897,408,0
40,79029,13,5182,2472,133,618,7,Female,Direct Mail,Spring Sale,2208,863,1
18,51468,14,3119,1506,134,517,5,Female,TV,Fall Sale,3100,739,1
55,44565,7,638,4543,135,987,3,Female,Email,Summer Sale,6413,678,0
63,46080,4,6339,3112,136,879,8,Male,Direct Mail,Spring Sale,2953,628,0
42,83078,18,6391,1809,137,359,9,Female,TV,Winter Sale,5199,441,1
27,42653,4,1849,3223,138,256,7,Female,Social Media,Spring Sale,3645,173,0
47,97909,8,1503,973,139,656,2,Female,Direct Mail,Summer Sale,6556,672,0
30,78662,16,5303,1091,140,348,8,Male,Radio,Fall Sale,9021,181,1
59,44458,4,4054,1005,141,508,6,Female,Social Media,Spring Sale,3766,454,1
60,99034,8,7186,1082,142,439,6,Female,Email,Winter Sale,9754,160,0
20,86894,17,2184,3525,143,901,5,Female,Direct Mail,Spring Sale,1734,672,0
27,44856,18,7703,1970,144,947,3,Male,Email,Winter Sale,2321,613,1
56,77679,15,3402,708,145,234,2,Male,Direct Mail,Spring Sale,3624,232,0
25,99834,4,4973,3538,146,787,4,Female,Radio,Winter Sale,5221,978,1
40,62574,9,5974,1724,147,209,2,Male,Radio,Winter Sale,2534,711,1
63,93677,9,4180,2113,148,557,2,Male,Email,Spring Sale,8391,777,0
45,51398,12,476,426,149,699,9,Male,Email,Fall Sale,3068,145,0
22,45251,7,2350,1973,150,598,8,Female,Email,Winter Sale,7085,570,0
59,61536,14,9624,995,151,476,6,Female,TV,Spring Sale,7537,526,0
56,40375,9,7827,2280,152,853,7,Female,Email,Fall Sale,4361,393,0
54,47790,5,994,2458,153,949,3,Female,Direct Mail,Summer Sale,4214,57,0
36,42942,2,1329,418,154,692,7,Male,Direct Mail,Winter Sale,5877,590,0
32,72389,9,165,4130,155,231,4,Female,TV,Spring Sale,4310,916,0
58,72149,12,9107,1754,156,233,8,Female,Social Media,Fall Sale,1538,840,1
49,63048,4,8403,2624,157,618,5,Female,Email,Summer Sale,5918,569,1
26,37105,12,9209,3228,158,525,7,Male,Social Media,Spring Sale,2516,169,1
35,91693,1,4725,2660,159,724,6,Female,Social Media,Spring Sale,2089,231,1
29,61760,18,6470,2677,160,190,5,Female,TV,Summer Sale,8293,981,1
43,35896,19,1595,335,161,546,4,Female,Email,Summer Sale,1976,826,0
31,95617,14,3225,471,162,935,7,Female,TV,Fall Sale,6847,395,1
57,66023,4,9846,3727,163,933,8,Male,Radio,Winter Sale,3221,858,1
69,97797,1,5537,1404,164,857,3,Female,Radio,Fall Sale,2487,937,0
37,86710,2,1573,3652,165,192,9,Female,Social Media,Summer Sale,7609,880,0
23,89615,9,2682,4082,166,920,9,Female,TV,Summer Sale,8625,424,1
33,58307,9,7938,2712,167,635,1,Male,Social Media,Fall Sale,5472,968,0
19,31025,12,4991,110,168,157,8,Male,Social Media,Spring Sale,2127,667,1
65,59874,13,6754,2544,169,830,8,Female,TV,Summer Sale,4744,208,1
66,37871,5,5882,3671,170,684,5,Female,TV,Summer Sale,4724,943,1
46,68359,19,7256,458,171,775,3,Female,Social Media,Spring Sale,3215,183,1
51,39414,10,3702,587,172,618,4,Male,Radio,Winter Sale,3588,400,0
20,95963,10,846,185,173,948,2,Male,Email,Fall Sale,2741,370,0
44,34530,11,392,4864,174,341,9,Female,Social Media,Fall Sale,9154,921,1
28,39884,15,394,1871,175,998,7,Female,Email,Spring Sale,1415,925,1
62,54996,4,6928,2668,176,303,7,Male,Radio,Summer Sale,6250,161,1
54,50046,18,3171,1282,177,735,6,Male,Radio,Spring Sale,7417,668,1
54,78668,11,7116,3485,178,864,5,Male,Radio,Fall Sale,2554,827,0
34,48714,7,6903,4469,179,761,4,Male,Direct Mail,Spring Sale,6990,74,0
39,66842,9,6508,3265,180,453,1,Female,Direct Mail,Fall Sale,5441,951,0
65,75451,11,9263,589,181,783,7,Female,Email,Summer Sale,5909,896,1
46,65166,16,5700,4498,182,896,2,Male,Social Media,Spring Sale,8194,316,1
27,71128,10,6031,640,183,999,5,Female,TV,Winter Sale,6056,578,0
20,84863,17,3448,853,184,186,7,Female,Email,Summer Sale,8276,525,1
58,98999,13,1974,2195,185,972,6,Male,TV,Spring Sale,8576,265,1
33,91946,19,7676,4432,186,523,8,Female,TV,Summer Sale,3744,944,1
18,62587,13,7925,497,187,718,2,Female,TV,Summer Sale,4500,570,1
36,78420,12,1710,257,188,205,7,Male,Social Media,Spring Sale,3218,570,0
56,33072,2,2012,3289,189,194,2,Female,TV,Spring Sale,7097,304,1
29,94725,11,9083,3381,190,981,4,Male,Email,Fall Sale,6312,589,1
42,94685,17,7895,4378,191,882,9,Female,Direct Mail,Winter Sale,1015,799,1
23,99579,17,3045,1063,192,311,8,Female,Social Media,Fall Sale,4364,739,0
50,94437,11,5906,876,193,945,3,Male,Social Media,Spring Sale,7557,640,0
33,83254,9,5184,1523,194,708,7,Female,Social Media,Fall Sale,9806,875,0
27,77804,13,2555,4163,195,923,5,Male,TV,Summer Sale,8747,944,1
51,31275,12,3755,4883,196,224,6,Female,Radio,Summer Sale,1297,666,1
62,42746,7,629,925,197,464,6,Female,Email,Spring Sale,1497,17,1
21,99719,17,7321,3139,198,662,1,Female,Radio,Summer Sale,3680,247,1
18,69007,18,5954,3402,199,205,9,Male,Email,Winter Sale,6457,577,1
65,72403,10,4980,277,200,815,6,Male,Radio,Spring Sale,4699,913,1
59,37115,1,9701,4584,201,179,4,Male,Email,Fall Sale,3378,584,0
33,89760,3,3950,1203,202,682,1,Female,Social Media,Fall Sale,8799,26,0
66,70119,5,6185,3253,203,709,2,Female,Radio,Winter Sale,8798,891,0
25,84893,15,2983,834,204,478,8,Female,Radio,Fall Sale,5131,833,0
57,84273,13,4593,730,205,827,6,Female,TV,Summer Sale,8247,93,0
54,43074,12,153,785,206,981,4,Male,TV,Summer Sale,6768,517,0
59,45458,11,7144,553,207,840,6,Female,Email,Spring Sale,7781,932,1
48,81619,4,2609,950,208,293,8,Male,Radio,Winter Sale,7138,894,1
64,73836,10,8253,3367,209,387,9,Male,TV,Summer Sale,7268,679,0
54,44900,17,2983,1749,210,384,5,Female,Email,Spring Sale,3599,403,1
26,73007,2,8342,3095,211,144,8,Female,Social Media,Fall Sale,3281,471,0
66,64139,6,8384,4634,212,280,7,Male,Social Media,Spring Sale,8991,515,1
56,52352,13,1193,2258,213,129,7,Male,Radio,Fall Sale,3461,698,0
47,75463,19,1292,3494,214,845,2,Male,Direct Mail,Summer Sale,6763,173,0
18,47284,9,4476,1815,215,663,8,Female,Email,Summer Sale,2457,297,0
64,89314,1,7724,4221,216,967,7,Male,TV,Summer Sale,5078,841,1
45,32371,11,2960,1502,217,569,8,Male,Email,Spring Sale,7181,959,1
31,41300,9,7568,2284,218,322,1,Male,Direct Mail,Fall Sale,1191,61,0
40,80010,15,3749,507,219,864,4,Female,Email,Winter Sale,1286,272,1
66,45410,8,1619,4699,220,366,8,Female,Email,Summer Sale,6551,921,0
53,43584,16,8963,4160,221,483,7,Male,Radio,Summer Sale,2542,221,0
42,32076,16,7230,4827,222,550,3,Male,Direct Mail,Spring Sale,9904,365,1
22,98938,2,549,3123,223,826,3,Male,Direct Mail,Winter Sale,4283,133,0
21,57031,7,5009,2467,224,208,8,Female,TV,Summer Sale,9747,565,1
53,80109,3,4163,387,225,171,8,Male,Email,Spring Sale,8207,968,1
61,69420,12,693,2950,226,163,1,Male,Direct Mail,Spring Sale,8290,635,1
41,57583,4,1262,4972,227,333,6,Male,TV,Summer Sale,6275,523,1
37,81000,13,714,157,228,998,5,Female,Email,Summer Sale,1727,639,0
50,76612,8,5840,3839,229,406,1,Male,Radio,Spring Sale,9334,816,1
26,62847,2,1049,3331,230,952,6,Female,TV,Summer Sale,3305,602,1
63,95792,7,308,1532,231,626,1,Male,Direct Mail,Spring Sale,1847,980,1
26,62913,3,3411,3746,232,147,7,Female,Direct Mail,Fall Sale,4721,74,0
36,63287,15,9239,452,233,218,1,Female,Direct Mail,Summer Sale,3871,654,0
42,56590,18,9156,4030,234,814,9,Female,Direct Mail,Spring Sale,4888,596,0
34,37200,5,3939,4534,235,442,4,Female,Email,Summer Sale,4299,380,0
39,75846,7,2168,882,236,674,4,Female,Social Media,Summer Sale,3209,284,0
32,63490,3,849,4756,237,541,6,Male,Social Media,Fall Sale,7969,949,1
39,56746,16,2267,4580,238,104,4,Female,Radio,Winter Sale,5529,105,0
39,91543,17,8980,1834,239,522,9,Female,Direct Mail,Spring Sale,8045,629,0
65,78974,16,5179,3506,240,797,2,Female,TV,Spring Sale,2146,997,1
23,77455,10,4385,1144,241,439,9,Female,Email,Fall Sale,2813,959,1
43,38007,14,6750,2289,242,815,4,Male,Email,Fall Sale,5542,934,0
25,86296,5,9341,2715,243,683,6,Male,Social Media,Summer Sale,5439,787,1
38,77741,12,4259,1963,244,727,8,Female,TV,Fall Sale,8618,918,1
31,54726,17,6919,4937,245,153,1,Female,Direct Mail,Spring Sale,7981,673,1
62,30959,4,9431,1274,246,943,4,Male,Social Media,Fall Sale,9380,824,1
57,84646,18,9544,481,247,122,2,Male,TV,Fall Sale,4141,797,1
53,92241,11,2905,3373,248,286,6,Male,Social Media,Fall Sale,5577,528,0
33,95922,1,7336,2482,249,603,9,Male,Radio,Winter Sale,5470,670,0
56,39175,16,7159,1692,250,176,8,Female,TV,Summer Sale,1131,577,0
21,42162,3,6413,2369,251,962,4,Female,TV,Summer Sale,9722,415,0
53,61255,4,7094,652,252,298,2,Male,Social Media,Spring Sale,2243,592,1
69,76379,11,8763,2246,253,735,7,Male,Social Media,Fall Sale,1925,573,1
32,40920,17,3336,885,254,243,7,Male,Direct Mail,Summer Sale,7656,37,1
44,92899,17,1004,2000,255,621,6,Female,Radio,Fall Sale,5365,532,0
24,97959,4,4371,3654,256,195,2,Male,TV,Summer Sale,7009,139,0
34,78661,12,7496,2793,257,878,9,Male,Radio,Summer Sale,9171,326,0
35,73825,9,3437,434,258,301,1,Male,TV,Spring Sale,4217,819,1
34,54412,14,6806,3626,259,919,3,Female,Direct Mail,Spring Sale,2000,772,1
55,65467,7,1629,4161,260,485,1,Male,TV,Fall Sale,7313,546,0
53,93077,9,3020,2383,261,605,1,Female,TV,Spring Sale,1210,939,1
26,35212,9,1485,4885,262,660,9,Female,Email,Fall Sale,6641,944,1
40,99379,19,9180,3909,263,680,7,Female,Radio,Spring Sale,9928,144,1
19,79887,4,6544,482,264,143,3,Female,Email,Spring Sale,7803,934,0
29,51677,4,8783,1578,265,841,8,Female,Direct Mail,Fall Sale,8881,167,1
37,81333,8,280,3943,266,297,2,Female,Email,Fall Sale,5981,323,1
63,82332,14,2503,2446,267,639,5,Male,Email,Summer Sale,9069,35,0
30,48112,5,2873,1599,268,943,7,Male,Radio,Fall Sale,7794,545,0
28,45248,17,6104,2391,269,177,7,Female,Email,Fall Sale,8917,579,1
56,34897,8,9703,625,270,106,3,Male,Social Media,Winter Sale,2439,339,1
55,74211,6,6137,1360,271,196,3,Male,Radio,Spring Sale,3397,723,1
52,89386,6,5011,4847,272,243,6,Female,Email,Fall Sale,1439,793,1
18,87466,15,1765,3403,273,268,2,Female,Radio,Fall Sale,4203,695,0
56,98004,13,403,2205,274,948,4,Female,Social Media,Spring Sale,1284,95,0
33,30889,10,2080,1095,275,411,7,Female,Email,Spring Sale,9726,286,0
50,36954,4,1870,4435,276,383,7,Male,TV,Spring Sale,3655,941,0
51,77574,3,567,3001,277,958,6,Female,Direct Mail,Summer Sale,7788,941,1
27,39054,5,2461,3716,278,445,6,Male,Radio,Winter Sale,2296,893,0
45,58217,7,4552,1172,279,331,1,Female,Radio,Spring Sale,8089,788,1
49,37450,19,1207,1174,280,395,6,Male,TV,Summer Sale,2178,937,1
50,42896,2,4322,1799,281,593,5,Male,Direct Mail,Winter Sale,1256,962,1
61,67603,6,3488,1511,282,729,9,Male,Email,Fall Sale,7345,661,1
26,72940,16,428,3660,283,133,1,Female,Direct Mail,Fall Sale,8354,52,0
28,96473,11,1243,1995,284,208,9,Male,Social Media,Fall Sale,7233,418,1
21,78816,10,4589,1931,285,974,3,Female,Social Media,Summer Sale,8105,57,0
20,87869,13,772,2492,286,323,8,Female,Radio,Winter Sale,7979,37,1
64,73319,12,6575,4775,287,833,4,Female,Radio,Winter Sale,3980,403,0
68,41758,5,5342,3637,288,249,3,Female,Direct Mail,Spring Sale,8427,493,1
35,35181,10,5927,65,289,507,4,Female,Social Media,Winter Sale,2759,631,0
21,69227,3,4103,289,290,212,2,Male,Radio,Summer Sale,5429,379,0
63,84000,10,3628,1626,291,744,2,Female,Email,Summer Sale,2569,849,0
51,55358,18,822,3043,292,701,2,Female,Direct Mail,Spring Sale,6016,539,1
22,45514,15,1730,3340,293,426,7,Female,TV,Winter Sale,2714,202,0
32,71775,1,1675,4823,294,665,3,Male,TV,Fall Sale,7972,193,1
53,87876,15,8076,623,295,280,7,Female,Social Media,Winter Sale,5769,672,1
63,41013,10,2632,350,296,158,4,Female,Social Media,Summer Sale,9578,802,0
44,47365,1,957,3754,297,137,2,Male,Email,Winter Sale,2427,546,1
31,80820,12,1389,2732,298,488,3,Male,Social Media,Summer Sale,6623,967,1
65,36813,11,3531,253,299,992,6,Male,Radio,Summer Sale,2595,589,0
41,86599,15,3567,1779,300,237,6,Male,Email,Fall Sale,6524,868,0
57,68013,10,5084,3874,301,470,8,Female,Direct Mail,Spring Sale,9520,105,1
49,53309,5,7978,3827,302,611,8,Female,Direct Mail,Fall Sale,1345,939,1
51,85974,5,851,549,303,868,3,Male,Direct Mail,Fall Sale,6670,275,0
63,94447,14,6581,3841,304,861,1,Male,TV,Spring Sale,1840,324,0
44,64276,4,1016,1380,305,127,9,Male,Radio,Summer Sale,9291,296,0
64,68611,6,5734,4860,306,728,2,Male,TV,Fall Sale,4412,298,1
61,37030,8,2166,4898,307,696,8,Female,Radio,Summer Sale,3218,336,1
33,43397,14,7115,644,308,678,3,Female,TV,Spring Sale,8376,243,0
39,49992,5,1002,4463,309,640,8,Male,Social Media,Summer Sale,9885,577,1
31,70739,18,4215,2383,310,208,7,Female,TV,Spring Sale,7993,745,1
58,61313,10,7905,4042,311,732,5,Male,TV,Winter Sale,4422,311,0
42,74409,19,1066,792,312,842,3,Male,TV,Fall Sale,1366,929,0
46,72340,2,1221,662,313,247,9,Male,Radio,Winter Sale,1106,923,1
29,41271,10,8734,2534,314,433,5,Female,Radio,Spring Sale,8512,936,0
69,86095,17,8421,506,315,542,2,Female,Email,Winter Sale,8751,439,1
39,91664,18,5659,150,316,708,2,Female,Direct Mail,Summer Sale,7787,488,1
30,58703,1,8768,3290,317,161,8,Male,Radio,Spring Sale,7121,175,0
39,97275,11,2505,3137,318,817,9,Male,Email,Winter Sale,3279,690,0
65,68324,9,4405,4331,319,975,1,Female,Direct Mail,Winter Sale,6128,187,0
52,91687,17,7798,1858,320,788,3,Male,Email,Winter Sale,9584,106,1
40,59772,15,255,4521,321,516,1,Female,Social Media,Winter Sale,7128,605,0
24,55440,9,6014,4555,322,410,7,Female,Social Media,Summer Sale,6376,787,1
31,82191,4,5814,1145,323,226,1,Male,Email,Fall Sale,3068,230,1
21,40181,4,1238,983,324,771,5,Female,Email,Fall Sale,2484,972,0
22,75967,7,9350,1121,325,800,4,Female,Social Media,Spring Sale,5309,374,1
34,84016,12,7969,3830,326,745,3,Male,Email,Fall Sale,2627,448,0
21,97446,4,4946,2107,327,525,4,Male,Email,Spring Sale,1792,56,1
58,53938,17,7249,766,328,420,9,Female,Direct Mail,Winter Sale,2518,112,1
30,44806,18,7004,1045,329,325,6,Male,Direct Mail,Summer Sale,1872,298,1
51,91534,16,2489,1210,330,587,4,Female,Email,Fall Sale,1760,767,1
23,91180,18,849,4291,331,280,4,Male,Social Media,Summer Sale,6332,697,1
30,56937,17,9457,3538,332,831,3,Female,Social Media,Winter Sale,5772,639,1
42,96087,3,4841,4244,333,720,3,Male,TV,Summer Sale,4095,648,1
47,37104,14,1007,230,334,574,1,Female,Email,Summer Sale,1810,775,0
20,88509,5,6634,306,335,332,6,Male,Radio,Winter Sale,1632,473,1
32,80791,18,1177,3900,336,535,9,Male,Email,Summer Sale,8056,748,0
46,48683,5,1425,2159,337,366,6,Female,Email,Fall Sale,4352,413,1
67,43433,15,2737,1463,338,238,5,Female,Social Media,Winter Sale,1783,364,1
65,63451,15,9226,1227,339,135,9,Female,Radio,Spring Sale,2362,648,0
32,66712,19,1007,2090,340,208,3,Male,Email,Spring Sale,5888,601,1
39,40497,15,7116,3582,341,685,8,Female,Social Media,Summer Sale,8667,593,1
50,88620,11,7249,1622,342,436,2,Male,Social Media,Spring Sale,5650,347,0
68,82919,17,5959,2387,343,567,4,Male,Radio,Fall Sale,9595,581,0
61,58051,4,3207,2797,344,241,9,Male,Radio,Fall Sale,8441,469,1
50,59843,16,4893,4766,345,905,6,Female,Radio,Winter Sale,5271,127,1
66,55822,10,3496,981,346,811,1,Female,Email,Winter Sale,8578,203,1
